problem,path,repeat,order_position,method,status,rows,columns,nonzeros,presolve,presolve_status,threads,tolerance,internal_tolerance,time_limit,rho,delta,rf,start_projection,start_bound_fraction,start_linear_tolerance,read_seconds,setup_seconds,solve_seconds,postsolve_seconds,total_seconds,process_seconds,iterations,outer_iterations,inner_iterations,factor_seconds,linear_solve_seconds,objective,primal_infeasibility,dual_infeasibility,canonical_rows,canonical_columns,canonical_nonzeros,active_columns,preconditioner_core_min,preconditioner_core_mean,preconditioner_core_max,preconditioner_refreshes,preconditioner_factorizations,preconditioner_retained_mean,preconditioner_symbolic_analyses,preconditioner_retries,preconditioner_full,preconditioner_condition_max,preconditioner_spectral_error_max,preconditioner_lag_bound_max,preconditioner_core_swaps,residual_replacements,residual_checks,krylov_stagnations,minres_fallbacks,minres_iterations,krylov_breakdowns,krylov_iteration_limits,pcg_iterations,pcg_max_iterations,pcg_failures,low_rank_columns,low_rank_candidate_edges,peak_memory_mb,timing_consistent,solver_version,model_status,run_status,error
ds,/iridisfs/scratch/sc9c23/mps/ds.mps.gz,0,2,highs-ipx,optimal,656,67732,1024059,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,0.8607884403318167,0.14825315959751606,12.598852613940835,0.009456338360905647,13.61767795868218,13.921218344941735,44,,,,,57.23456529271912,4.883482507267445e-12,1.1509871529591256e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.7578125,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,
ds,/iridisfs/scratch/sc9c23/mps/ds.mps.gz,0,3,highs-hipo,optimal,656,67732,1024059,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,0.8713160399347544,0.15181306935846806,5.667481767013669,0.009503616020083427,6.700661258772016,7.014428235590458,37,,,,,57.23456950640014,2.537064039964676e-07,1.534649537278834e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.07421875,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,
ivu06-big,/iridisfs/scratch/sc9c23/mps/ivu06-big.mps.gz,0,1,highs-ipx,optimal,1177,2277736,23125770,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,25.610149225220084,3.666972739621997,2071.051093166694,0.3365011103451252,2100.6651689969003,2100.9695137664676,121,,,,,135.4277185254628,4.145250809273193e-11,4.0536216358886025e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2397.1171875,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,
ivu06-big,/iridisfs/scratch/sc9c23/mps/ivu06-big.mps.gz,0,2,highs-hipo,optimal,1177,2277736,23125770,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,25.912426486611366,3.5969470627605915,269.61709804460406,0.3245777450501919,299.4516726862639,300.6320072375238,67,,,,,135.427719850949,7.732130713478114e-09,5.695240640043114e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4355.765625,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,
ivu06-big,/iridisfs/scratch/sc9c23/mps/ivu06-big.mps.gz,0,3,psipm-ssp,optimal,1177,2277736,23125770,off,off,1,1e-06,1e-06,5000.0,,,1.0,legacy,0.001,,25.67739875242114,0.4757883343845606,4358.523683991283,0.10411018319427967,4384.781139429659,4385.094440300018,,23,69,8.249870032072067,4251.410883773118,135.42772311285012,2.676864850337246e-07,3.096096761806151e-09,1177,2277736,23125770,3531,1177,2426.24358974359,3531,49,69,0.9240966861093955,49,4,False,32278.093778737868,52.17462569675118,100000000.0,7748,0,912,0,0,0,0,107,68621,380,11,0,0,3181.75,True,psipm-spectral-stable-preconditioner-2,,,
ivu06,/iridisfs/scratch/sc9c23/mps/ivu06.mps.gz,0,1,highs-hipo,optimal,1177,787239,8032303,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,9.017496012151241,1.3098890855908394,96.61482225172222,0.11169631592929363,107.05451327934861,107.39364786632359,50,,,,,135.90135310271745,1.7696287768487196e-09,9.373153963749521e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1553.57421875,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,
ivu06,/iridisfs/scratch/sc9c23/mps/ivu06.mps.gz,0,2,psipm-ssp,optimal,1177,787239,8032303,off,off,1,1e-06,1e-06,5000.0,,,1.0,legacy,0.001,,9.019054157659411,0.16484607942402363,53.8248532358557,0.03534499183297157,63.04426975362003,63.467732379212976,,22,25,25.661414662376046,15.444377359002829,135.90137037102747,3.693501060553217e-10,1.4768580833057494e-10,1177,787239,8032303,782616,782616,782616.0,782616,3,26,1.0,1,0,True,1.0,0.0,100000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341.9375,True,psipm-spectral-stable-preconditioner-2,,,
ivu06,/iridisfs/scratch/sc9c23/mps/ivu06.mps.gz,0,3,highs-ipx,optimal,1177,787239,8032303,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,8.948636723682284,1.2446421571075916,402.5214130207896,0.11461533233523369,412.82974600978196,413.13973752968013,91,,,,,135.90135718955656,1.9430285158605898e-10,1.9270560456005923e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913.8515625,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,
ivu59,/iridisfs/scratch/sc9c23/mps/ivu59.mps,0,1,psipm-ssp,optimal,3436,2569996,36186332,off,off,1,1e-06,1e-06,5000.0,,,1.0,legacy,0.001,,16.045504424721003,0.6858559586107731,2201.7111591920257,0.13713917322456837,2218.579841133207,2219.0253497473896,,21,24,64.83691084757447,2086.7482106965035,884.457077747641,6.369836225150749e-08,2.4520564001626593e-09,3436,2569996,36186332,10308,3436,9013.461538461539,10308,21,34,0.9284725878011115,21,4,False,225217.43029181391,194.95582045619915,100000000.0,13969,0,317,0,0,0,0,22,22469,400,12,0,0,4844.56640625,True,psipm-spectral-stable-preconditioner-2,,,
ivu59,/iridisfs/scratch/sc9c23/mps/ivu59.mps,0,2,highs-ipx,time-limit,3436,2569996,36186332,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,16.013203289359808,5.605204399675131,4979.610586104915,0.3919677156955004,5001.621342364699,5002.397089378908,95,,,,,890.4543793899591,3.6715075424353927e-13,7.894919286223335e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3537.32421875,True,1.15.1,HighsModelStatus.kTimeLimit,HighsStatus.kWarning,
